, Salary ,MP,3P,FT,TRB,AST,STL,BLK,TOV,PF,PTS,Archetype
1570,0.0114472444489324,0.2105263157894736,0.0,0.053763440860215,0.1066666666666666,0.0336134453781512,0.1333333333333333,0.0263157894736842,0.1555555555555555,0.1875,0.103030303030303,Ignorance
1571,0.0662775418209609,0.7894736842105262,0.0,0.4623655913978494,0.6066666666666667,0.2436974789915966,0.5,0.2105263157894737,0.5333333333333333,0.6875,0.7151515151515152,All Star Post Scorer
1572,0.0384158923420148,0.4805491990846681,0.0277777777777777,0.2043010752688172,0.1,0.2941176470588235,0.2333333333333333,0.0263157894736842,0.4888888888888889,0.4583333333333333,0.3,Playmaker
1573,0.0480603094693423,0.4988558352402746,0.0,0.1612903225806451,0.4266666666666667,0.0336134453781512,0.1333333333333333,0.1578947368421052,0.2888888888888889,0.5833333333333334,0.2818181818181818,Rim Protector
1574,0.0284499946437764,0.4141876430205949,0.0,0.1290322580645161,0.1466666666666666,0.0840336134453781,0.1666666666666666,0.0263157894736842,0.2666666666666666,0.3125,0.2515151515151515,Post Scorer
1575,0.0480603094693423,0.6086956521739131,0.0,0.2688172043010752,0.5399999999999999,0.1512605042016806,0.1666666666666666,0.2631578947368421,0.4888888888888889,0.5416666666666667,0.3303030303030303,Rim Protector
1576,0.0284499946437764,0.205949656750572,0.0,0.1075268817204301,0.0933333333333333,0.1092436974789916,0.1666666666666666,0.0263157894736842,0.2444444444444444,0.3958333333333333,0.106060606060606,Post Scorer
1577,0.0298430771177237,0.3615560640732265,0.0555555555555555,0.075268817204301,0.0666666666666666,0.2352941176470588,0.1666666666666666,0.0,0.2666666666666666,0.25,0.1666666666666666,Sharpshooter
1578,0.1069984141363437,0.9038901601830664,0.1666666666666666,0.6881720430107526,0.3399999999999999,0.2521008403361344,0.5,0.0789473684210526,0.6888888888888889,0.6875,0.8484848484848485,Superstar
1579,0.0284499946437764,0.2951945080091533,0.0,0.1075268817204301,0.1666666666666666,0.0588235294117647,0.1333333333333333,0.1052631578947368,0.1777777777777777,0.4375,0.1151515151515151,Post Scorer
1580,0.0114472444489324,0.1578947368421052,0.0,0.032258064516129,0.1266666666666666,0.0252100840336134,0.0666666666666666,0.0789473684210526,0.0888888888888888,0.25,0.0393939393939394,Ignorance
1581,0.0284499946437764,0.4096109839816933,0.0,0.075268817204301,0.2933333333333333,0.0756302521008403,0.1333333333333333,0.0789473684210526,0.1555555555555555,0.5833333333333334,0.1363636363636363,Post Scorer
1582,0.0284499946437764,0.482837528604119,0.0,0.0967741935483871,0.3333333333333333,0.0672268907563025,0.0999999999999999,0.1842105263157894,0.2222222222222222,0.625,0.103030303030303,Post Scorer
1583,0.0114472444489324,0.1899313501144164,0.0,0.075268817204301,0.1133333333333333,0.0504201680672268,0.1999999999999999,0.1052631578947368,0.1555555555555555,0.1041666666666666,0.0878787878787878,Ignorance
1584,0.0114472444489324,0.1578947368421052,0.0,0.1182795698924731,0.04,0.0840336134453781,0.0999999999999999,0.0,0.0888888888888888,0.1875,0.0696969696969696,Ignorance
1585,0.0384158923420148,0.5881006864988558,0.0277777777777777,0.2473118279569892,0.22,0.2436974789915966,0.3333333333333333,0.0263157894736842,0.3555555555555555,0.5,0.3363636363636363,Playmaker
1586,0.0662775418209609,0.7345537757437071,0.0,0.2473118279569892,0.5266666666666667,0.0588235294117647,0.1999999999999999,0.131578947368421,0.4,0.8541666666666666,0.3939393939393939,All Star Post Scorer
1587,0.0480603094693423,0.459954233409611,0.0,0.2473118279569892,0.3399999999999999,0.134453781512605,0.1999999999999999,0.2105263157894737,0.4,0.3958333333333333,0.2545454545454546,Rim Protector
1588,0.0480603094693423,0.4347826086956521,0.0,0.1935483870967742,0.3,0.0840336134453781,0.0999999999999999,0.2105263157894737,0.3111111111111111,0.5416666666666667,0.3181818181818182,Rim Protector
1589,0.0284499946437764,0.3432494279176201,0.0,0.1075268817204301,0.2,0.0588235294117647,0.2333333333333333,0.0789473684210526,0.0,0.4791666666666666,0.1727272727272727,Post Scorer
1590,0.0284499946437764,0.3203661327231121,0.0,0.1397849462365591,0.2333333333333333,0.0336134453781512,0.0666666666666666,0.1052631578947368,0.1555555555555555,0.5,0.1363636363636363,Post Scorer
1591,0.0284499946437764,0.3180778032036613,0.0,0.1182795698924731,0.22,0.042016806722689,0.0999999999999999,0.2894736842105263,0.1777777777777777,0.4791666666666666,0.1606060606060606,Post Scorer
1592,0.0384158923420148,0.5217391304347826,0.2222222222222222,0.1397849462365591,0.1066666666666666,0.3781512605042016,0.2666666666666666,0.0526315789473684,0.4666666666666667,0.6041666666666666,0.2696969696969697,Playmaker
1593,0.0480603094693423,0.459954233409611,0.0,0.1075268817204301,0.3466666666666667,0.1092436974789916,0.1333333333333333,0.1052631578947368,0.2444444444444444,0.7083333333333334,0.1878787878787879,Rim Protector
1594,0.0284499946437764,0.3226544622425629,0.0,0.1505376344086021,0.1066666666666666,0.1512605042016806,0.2333333333333333,0.0789473684210526,0.2444444444444444,0.2291666666666666,0.1575757575757576,Post Scorer
1595,0.0623483348431608,0.7414187643020594,0.0833333333333333,0.3870967741935484,0.1733333333333333,0.6554621848739496,0.1999999999999999,0.0263157894736842,0.7333333333333333,0.5208333333333334,0.4939393939393939,All Star Playmaker
1596,0.1069984141363437,0.8192219679633866,0.0,0.8602150537634408,0.3933333333333333,0.2857142857142857,0.3333333333333333,0.0263157894736842,0.6888888888888889,0.5,0.8060606060606061,Superstar
1597,0.0480603094693423,0.6247139588100686,0.0,0.2150537634408602,0.5066666666666666,0.1176470588235294,0.3,0.2368421052631579,0.4,0.6458333333333334,0.296969696969697,Rim Protector
1598,0.0114472444489324,0.2654462242562929,0.0,0.064516129032258,0.0733333333333333,0.1596638655462184,0.0666666666666666,0.0,0.1555555555555555,0.2708333333333333,0.0545454545454545,Ignorance
1599,0.0480603094693423,0.4462242562929061,0.0,0.1182795698924731,0.3,0.1092436974789916,0.2333333333333333,0.1578947368421052,0.2,0.6041666666666666,0.1999999999999999,Rim Protector
1600,0.0623483348431608,0.8260869565217391,0.0277777777777777,0.5483870967741935,0.4133333333333333,1.0,0.5,0.0789473684210526,0.8888888888888888,0.4166666666666667,0.5545454545454546,All Star Playmaker
